Organisational Family,Organisation,Category,Service Type, Price 
Cabinet Office,Cabinet Office,Professional Services Other,Clinical Support Services, £-   
Cabinet Office,Cabinet Office,Professional Services Other,Environmental Services, £-   
Cabinet Office,Cabinet Office,Professional Services Other,Financial Services," £7,579,962 "
Cabinet Office,Cabinet Office,Professional Services Other,Interpretation & Translation Services, £-   
Cabinet Office,Cabinet Office,Professional Services Other,Learning & Development Services," £5,109,464 "
Cabinet Office,Cabinet Office,Professional Services Other,Legal Services," £2,580,731 "
Cabinet Office,Cabinet Office,Professional Services Other,Operational Services," £33,311,310 "
Cabinet Office,Cabinet Office,Professional Services Other,Technical Services," £32,232 "
Cabinet Office,Cabinet Office,Professional Services Other,Uncategorised, £-   
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Admin & Clerical," £1,874,432 "
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Interim Managers, £-   
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Specialist Contractors, £-   
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Uncategorised, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,Finance Consultancy," £403,579 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £440,102 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,IT/IS Consultancy," £4,273,813 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Legal Consultancy," £477,337 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Marketing & Communications Consultancy," £1,221,214 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Org & Change Management Consultancy, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,PPM Consultancy, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,Procurement Consultancy, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,Property & Construction Consultancy," £616,483 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Strategy Consultancy," £3,188,335 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Technical Consultancy," £8,397,416 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Uncategorised, £-   
Cabinet Office,Cabinet Office,Personnel Related,Events Admissions," £95,363 "
Cabinet Office,Cabinet Office,Personnel Related,Staff Childcare," £103,895 "
Cabinet Office,Cabinet Office,Personnel Related,Staff Health & Safety, £-   
Cabinet Office,Cabinet Office,Personnel Related,Staff Medical Care, £-   
Cabinet Office,Cabinet Office,Personnel Related,Staff Relocation, £-   
Cabinet Office,Cabinet Office,Personnel Related,Staff Subscriptions," £12,402 "
Cabinet Office,Cabinet Office,Personnel Related,Uncategorised, £-   
Cabinet Office,Cabinet Office,Social Care,Adult Social Care, £-   
Cabinet Office,Cabinet Office,Social Care,Child Social Care, £-   
Cabinet Office,Cabinet Office,Social Care,Educational Programmes, £-   
Cabinet Office,Cabinet Office,Social Care,Emergency Services, £-   
Cabinet Office,Cabinet Office,Social Care,Entertainment Services, £-   
Cabinet Office,Cabinet Office,Social Care,Legal Aid, £-   
Cabinet Office,Cabinet Office,Social Care,Operation of Custodial Facilities, £-   
Cabinet Office,Cabinet Office,Social Care,Transport Provision, £-   
Cabinet Office,Cabinet Office,Social Care,Welfare to Work, £-   
Cabinet Office,Cabinet Office,Social Care,World Programmes, £-   
Cabinet Office,Cabinet Office,Social Care,Uncategorised, £-   
Cabinet Office,Cabinet Office,Marketing & Media,Advertising," £22,202 "
Cabinet Office,Cabinet Office,Marketing & Media,Marketing," £2,173,900 "
Cabinet Office,Cabinet Office,Marketing & Media,Promotion," £1,200,860 "
Cabinet Office,Cabinet Office,Marketing & Media,Uncategorised, £-   
Cabinet Office,Cabinet Office,Facilities,Accommodation Services, £-   
Cabinet Office,Cabinet Office,Facilities,Building Management," £35,990,881 "
Cabinet Office,Cabinet Office,Facilities,Catering," £274,890 "
Cabinet Office,Cabinet Office,Facilities,Cleaning, £-   
Cabinet Office,Cabinet Office,Facilities,Food, £-   
Cabinet Office,Cabinet Office,Facilities,Office Furniture," £134,888 "
Cabinet Office,Cabinet Office,Facilities,Security," £7,988 "
